#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
    -5.0           2.6829E+00              2.6813E+00
    -4.0           2.7704E+00              2.7694E+00
    -3.0           2.7542E+00              2.7526E+00
    -2.0           2.7231E+00              2.7192E+00
    -1.0           2.6133E+00              2.6023E+00
    -0.0           2.5928E+00              2.5817E+00
     1.0           2.6214E+00              2.6133E+00
     2.0           2.6364E+00              2.6298E+00
     3.0           2.6317E+00              2.6261E+00
     4.0           2.6303E+00              2.6259E+00
     5.0           2.6462E+00              2.6426E+00
     6.0           2.6901E+00              2.6873E+00
     7.0           2.7565E+00              2.7543E+00
     8.0           2.8236E+00              2.8212E+00
     9.0           2.8744E+00              2.8714E+00
    10.0           2.9133E+00              2.9093E+00
    11.0           2.9584E+00              2.9526E+00
    12.0           3.0095E+00              3.0018E+00
    13.0           3.0393E+00              3.0313E+00
    14.0           3.0554E+00              3.0476E+00
    15.0           3.0666E+00              3.0592E+00
    16.0           3.0746E+00              3.0674E+00
    17.0           3.0824E+00              3.0754E+00
    18.0           3.0908E+00              3.0842E+00
    19.0           3.1000E+00              3.0937E+00
    20.0           3.1094E+00              3.1034E+00
    21.0           3.1187E+00              3.1131E+00
    22.0           3.1278E+00              3.1225E+00
    23.0           3.1365E+00              3.1316E+00
    24.0           3.1449E+00              3.1402E+00
    25.0           3.1529E+00              3.1484E+00
    26.0           3.1605E+00              3.1562E+00
    27.0           3.1675E+00              3.1634E+00
    28.0           3.1742E+00              3.1702E+00
    29.0           3.1804E+00              3.1766E+00
    30.0           3.1863E+00              3.1826E+00
    31.0           3.1922E+00              3.1887E+00
    32.0           3.1983E+00              3.1948E+00
    33.0           3.2041E+00              3.2009E+00
    34.0           3.2107E+00              3.2077E+00
    35.0           3.2323E+00              3.2300E+00
    36.0           3.2447E+00              3.2428E+00
    37.0           3.2549E+00              3.2534E+00
    38.0           3.2618E+00              3.2606E+00
    39.0           3.2686E+00              3.2676E+00
    40.0           3.2744E+00              3.2736E+00
    41.0           3.2811E+00              3.2806E+00
    42.0           3.2862E+00              3.2858E+00
    43.0           3.2892E+00              3.2889E+00
    44.0           3.2909E+00              3.2907E+00
    45.0           3.2929E+00              3.2928E+00
    46.0           3.2950E+00              3.2949E+00
    47.0           3.2962E+00              3.2961E+00
    48.0           3.2972E+00              3.2971E+00
    49.0           3.2982E+00              3.2982E+00
    50.0           3.2992E+00              3.2992E+00
    51.0           3.2999E+00              3.2998E+00
    52.0           3.3005E+00              3.3004E+00
    53.0           3.3011E+00              3.3010E+00
    54.0           3.3017E+00              3.3016E+00
    55.0           3.3022E+00              3.3022E+00
    56.0           3.3028E+00              3.3028E+00
    57.0           3.3034E+00              3.3034E+00
    58.0           3.3041E+00              3.3041E+00
    59.0           3.3047E+00              3.3047E+00
    60.0           3.3053E+00              3.3053E+00
    61.0           3.3059E+00              3.3059E+00
    62.0           3.3066E+00              3.3066E+00
    63.0           3.3072E+00              3.3072E+00
    64.0           3.3078E+00              3.3078E+00
    65.0           3.3084E+00              3.3084E+00
    66.0           3.3091E+00              3.3091E+00
    67.0           3.3097E+00              3.3097E+00
    68.0           3.3103E+00              3.3103E+00
    69.0           3.3109E+00              3.3109E+00
    70.0           3.3116E+00              3.3116E+00
    71.0           3.3122E+00              3.3122E+00
    72.0           3.3129E+00              3.3129E+00
    73.0           3.3136E+00              3.3136E+00
    74.0           3.3142E+00              3.3142E+00
    75.0           3.3149E+00              3.3149E+00
    76.0           3.3155E+00              3.3155E+00
    77.0           3.3162E+00              3.3162E+00
    78.0           3.3168E+00              3.3168E+00
    79.0           3.3175E+00              3.3175E+00
    80.0           3.3182E+00              3.3182E+00
    81.0           3.3162E+00              3.3162E+00
    82.0           3.3169E+00              3.3169E+00
    83.0           3.3177E+00              3.3177E+00
    84.0           3.3185E+00              3.3185E+00
    85.0           3.3192E+00              3.3192E+00
    86.0           3.3200E+00              3.3200E+00
    87.0           3.3208E+00              3.3208E+00
    88.0           3.3216E+00              3.3216E+00
    89.0           3.3224E+00              3.3224E+00
