#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
    -5.0           3.5182E+00              3.5181E+00
    -4.0           3.4495E+00              3.4424E+00
    -3.0           3.4381E+00              3.4351E+00
    -2.0           3.4089E+00              3.3989E+00
    -1.0           3.3997E+00              3.3739E+00
    -0.0           3.0825E+00              2.9361E+00
     1.0           3.0630E+00              2.9162E+00
     2.0           3.1155E+00              2.9990E+00
     3.0           3.1186E+00              3.0081E+00
     4.0           3.1121E+00              2.9918E+00
     5.0           3.2109E+00              3.1021E+00
     6.0           3.4061E+00              3.3428E+00
     7.0           3.5956E+00              3.5650E+00
     8.0           3.7152E+00              3.6988E+00
     9.0           3.7874E+00              3.7744E+00
    10.0           3.8331E+00              3.8207E+00
    11.0           3.8900E+00              3.8758E+00
    12.0           3.9826E+00              3.9628E+00
    13.0           4.0760E+00              4.0514E+00
    14.0           4.1102E+00              4.0854E+00
    15.0           4.1275E+00              4.1032E+00
    16.0           4.1409E+00              4.1171E+00
    17.0           4.1537E+00              4.1305E+00
    18.0           4.1669E+00              4.1443E+00
    19.0           4.1800E+00              4.1582E+00
    20.0           4.1933E+00              4.1723E+00
    21.0           4.2064E+00              4.1864E+00
    22.0           4.2193E+00              4.2003E+00
    23.0           4.2317E+00              4.2136E+00
    24.0           4.2435E+00              4.2263E+00
    25.0           4.2546E+00              4.2383E+00
    26.0           4.2651E+00              4.2497E+00
    27.0           4.2753E+00              4.2606E+00
    28.0           4.2853E+00              4.2713E+00
    29.0           4.2957E+00              4.2823E+00
    30.0           4.3067E+00              4.2940E+00
    31.0           4.3183E+00              4.3064E+00
    32.0           4.3305E+00              4.3194E+00
    33.0           4.3496E+00              4.3393E+00
    34.0           4.3738E+00              4.3645E+00
    35.0           4.3960E+00              4.3875E+00
    36.0           4.4118E+00              4.4040E+00
    37.0           4.4260E+00              4.4188E+00
    38.0           4.4393E+00              4.4328E+00
    39.0           4.4533E+00              4.4474E+00
    40.0           4.4666E+00              4.4615E+00
    41.0           4.4799E+00              4.4755E+00
    42.0           4.4893E+00              4.4854E+00
    43.0           4.4951E+00              4.4916E+00
    44.0           4.4992E+00              4.4961E+00
    45.0           4.5024E+00              4.4996E+00
    46.0           4.5041E+00              4.5016E+00
    47.0           4.5045E+00              4.5022E+00
    48.0           4.5041E+00              4.5018E+00
    49.0           4.5030E+00              4.5008E+00
    50.0           4.5016E+00              4.4995E+00
    51.0           4.5001E+00              4.4980E+00
    52.0           4.4985E+00              4.4964E+00
    53.0           4.4967E+00              4.4947E+00
    54.0           4.4949E+00              4.4929E+00
    55.0           4.4931E+00              4.4911E+00
    56.0           4.4913E+00              4.4894E+00
    57.0           4.4895E+00              4.4876E+00
    58.0           4.4878E+00              4.4859E+00
    59.0           4.4860E+00              4.4841E+00
    60.0           4.4843E+00              4.4825E+00
    61.0           4.4826E+00              4.4808E+00
    62.0           4.4810E+00              4.4791E+00
    63.0           4.4794E+00              4.4775E+00
    64.0           4.4778E+00              4.4760E+00
    65.0           4.4763E+00              4.4745E+00
    66.0           4.4748E+00              4.4730E+00
    67.0           4.4733E+00              4.4715E+00
    68.0           4.4719E+00              4.4701E+00
    69.0           4.4704E+00              4.4687E+00
    70.0           4.4690E+00              4.4673E+00
    71.0           4.4677E+00              4.4659E+00
    72.0           4.4662E+00              4.4645E+00
    73.0           4.4649E+00              4.4631E+00
    74.0           4.4635E+00              4.4618E+00
    75.0           4.4622E+00              4.4604E+00
    76.0           4.4609E+00              4.4592E+00
    77.0           4.4596E+00              4.4579E+00
    78.0           4.4584E+00              4.4567E+00
    79.0           4.4572E+00              4.4555E+00
    80.0           4.4561E+00              4.4543E+00
    81.0           4.4549E+00              4.4532E+00
    82.0           4.4538E+00              4.4521E+00
    83.0           4.4528E+00              4.4510E+00
    84.0           4.4517E+00              4.4500E+00
    85.0           4.4507E+00              4.4490E+00
    86.0           4.4498E+00              4.4480E+00
    87.0           4.4488E+00              4.4471E+00
    88.0           4.4479E+00              4.4462E+00
