# longitudes  latitudes
      42.0       12.0
      77.0      -37.0
     -14.0       -8.0
     -28.0       38.0
    -113.0       27.0
     165.0      -67.0
     -60.0       30.0
       3.0      -54.0
    -136.0       54.0
       9.0      -54.0
     -17.0       28.0
     -24.0       15.0
     166.0        5.0
      80.0      -35.0
    -130.0       46.0
      44.0      -12.0
    -140.0      -29.0
      45.0      -46.0
      24.0       13.0
       0.0      -42.0
      34.0        6.0
     143.0      -38.0
    -109.0      -27.0
       7.0       50.0
     -32.0       -4.0
    -111.0      -39.0
     -86.0        1.0
     -10.0      -40.0
      28.0       30.0
    -118.0       29.0
    -155.0       20.0
       6.0       23.0
     -20.0       64.0
      -8.0       71.0
     -79.0      -34.0
      63.0      -49.0
     159.0      -31.0
    -138.0      -51.0
    -140.0      -29.0
     -17.0       33.0
      38.0      -47.0
    -138.0       -8.0
    -154.0      -21.0
     -29.0      -21.0
       1.0      -52.0
     167.0      -78.0
      28.0      -32.0
    -130.0      -24.0
    -104.0       36.0
      56.0      -21.0
     168.0      -77.0
    -170.0      -14.0
     -80.0      -26.0
       0.0      -52.0
    -111.0       19.0
     -10.0      -17.0
      78.0      -39.0
    -150.0      -18.0
     157.0      -39.0
      17.0       21.0
     -29.0      -21.0
     -12.0      -37.0
      16.0      -32.0
    -111.0       44.0
