#ndep: 2897
#depth (km)    Vp_arithmetic (km/s)    Vp_geometric (km/s)
    -5.0           5.8328E+00              5.8101E+00
    -4.0           6.0995E+00              6.0897E+00
    -3.0           6.0188E+00              5.9971E+00
    -2.0           5.8618E+00              5.7996E+00
    -1.0           5.2386E+00              5.0305E+00
    -0.0           5.0895E+00              4.8587E+00
     1.0           5.2314E+00              5.0467E+00
     2.0           5.3035E+00              5.1448E+00
     3.0           5.2588E+00              5.1209E+00
     4.0           5.2439E+00              5.1355E+00
     5.0           5.3414E+00              5.2579E+00
     6.0           5.5980E+00              5.5419E+00
     7.0           5.9588E+00              5.9267E+00
     8.0           6.2895E+00              6.2670E+00
     9.0           6.5030E+00              6.4808E+00
    10.0           6.6283E+00              6.6045E+00
    11.0           6.7677E+00              6.7374E+00
    12.0           6.9563E+00              6.9158E+00
    13.0           7.0681E+00              7.0256E+00
    14.0           7.1253E+00              7.0847E+00
    15.0           7.1642E+00              7.1258E+00
    16.0           7.1923E+00              7.1555E+00
    17.0           7.2188E+00              7.1835E+00
    18.0           7.2467E+00              7.2131E+00
    19.0           7.2769E+00              7.2453E+00
    20.0           7.3073E+00              7.2776E+00
    21.0           7.3371E+00              7.3092E+00
    22.0           7.3660E+00              7.3398E+00
    23.0           7.3937E+00              7.3692E+00
    24.0           7.4200E+00              7.3970E+00
    25.0           7.4448E+00              7.4231E+00
    26.0           7.4681E+00              7.4475E+00
    27.0           7.4898E+00              7.4702E+00
    28.0           7.5099E+00              7.4912E+00
    29.0           7.5287E+00              7.5107E+00
    30.0           7.5464E+00              7.5290E+00
    31.0           7.5623E+00              7.5456E+00
    32.0           7.5772E+00              7.5614E+00
    33.0           7.5931E+00              7.5784E+00
    34.0           7.6141E+00              7.6005E+00
    35.0           7.6850E+00              7.6741E+00
    36.0           7.7255E+00              7.7165E+00
    37.0           7.7586E+00              7.7513E+00
    38.0           7.7808E+00              7.7747E+00
    39.0           7.8024E+00              7.7974E+00
    40.0           7.8204E+00              7.8163E+00
    41.0           7.8411E+00              7.8379E+00
    42.0           7.8560E+00              7.8534E+00
    43.0           7.8635E+00              7.8613E+00
    44.0           7.8667E+00              7.8647E+00
    45.0           7.8705E+00              7.8687E+00
    46.0           7.8749E+00              7.8734E+00
    47.0           7.8761E+00              7.8747E+00
    48.0           7.8765E+00              7.8752E+00
    49.0           7.8769E+00              7.8756E+00
    50.0           7.8771E+00              7.8759E+00
    51.0           7.8763E+00              7.8752E+00
    52.0           7.8753E+00              7.8742E+00
    53.0           7.8744E+00              7.8733E+00
    54.0           7.8734E+00              7.8723E+00
    55.0           7.8724E+00              7.8713E+00
    56.0           7.8714E+00              7.8703E+00
    57.0           7.8705E+00              7.8694E+00
    58.0           7.8696E+00              7.8686E+00
    59.0           7.8688E+00              7.8677E+00
    60.0           7.8679E+00              7.8669E+00
    61.0           7.8672E+00              7.8661E+00
    62.0           7.8664E+00              7.8654E+00
    63.0           7.8657E+00              7.8647E+00
    64.0           7.8649E+00              7.8639E+00
    65.0           7.8641E+00              7.8631E+00
    66.0           7.8633E+00              7.8623E+00
    67.0           7.8626E+00              7.8617E+00
    68.0           7.8619E+00              7.8609E+00
    69.0           7.8612E+00              7.8602E+00
    70.0           7.8605E+00              7.8595E+00
