#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
    -5.0           3.3811E+00              3.3640E+00
    -4.0           3.5326E+00              3.5254E+00
    -3.0           3.4767E+00              3.4603E+00
    -2.0           3.3727E+00              3.3250E+00
    -1.0           2.9703E+00              2.8133E+00
    -0.0           2.8712E+00              2.6986E+00
     1.0           2.9503E+00              2.8108E+00
     2.0           2.9677E+00              2.8427E+00
     3.0           2.8888E+00              2.7745E+00
     4.0           2.8351E+00              2.7393E+00
     5.0           2.8835E+00              2.8051E+00
     6.0           3.0581E+00              3.0035E+00
     7.0           3.3055E+00              3.2766E+00
     8.0           3.5233E+00              3.5078E+00
     9.0           3.6497E+00              3.6377E+00
    10.0           3.7157E+00              3.7039E+00
    11.0           3.8071E+00              3.7901E+00
    12.0           3.9514E+00              3.9252E+00
    13.0           4.0323E+00              4.0040E+00
    14.0           4.0680E+00              4.0405E+00
    15.0           4.0895E+00              4.0631E+00
    16.0           4.1044E+00              4.0785E+00
    17.0           4.1173E+00              4.0921E+00
    18.0           4.1310E+00              4.1066E+00
    19.0           4.1463E+00              4.1228E+00
    20.0           4.1618E+00              4.1394E+00
    21.0           4.1772E+00              4.1558E+00
    22.0           4.1922E+00              4.1719E+00
    23.0           4.2067E+00              4.1875E+00
    24.0           4.2208E+00              4.2026E+00
    25.0           4.2343E+00              4.2170E+00
    26.0           4.2472E+00              4.2307E+00
    27.0           4.2594E+00              4.2437E+00
    28.0           4.2711E+00              4.2560E+00
    29.0           4.2822E+00              4.2675E+00
    30.0           4.2927E+00              4.2783E+00
    31.0           4.3014E+00              4.2875E+00
    32.0           4.3089E+00              4.2956E+00
    33.0           4.3174E+00              4.3049E+00
    34.0           4.3302E+00              4.3184E+00
    35.0           4.3769E+00              4.3670E+00
    36.0           4.4035E+00              4.3949E+00
    37.0           4.4252E+00              4.4177E+00
    38.0           4.4397E+00              4.4331E+00
    39.0           4.4542E+00              4.4485E+00
    40.0           4.4669E+00              4.4620E+00
    41.0           4.4830E+00              4.4789E+00
    42.0           4.4943E+00              4.4908E+00
    43.0           4.4990E+00              4.4960E+00
    44.0           4.5004E+00              4.4975E+00
    45.0           4.5023E+00              4.4997E+00
    46.0           4.5050E+00              4.5026E+00
    47.0           4.5048E+00              4.5026E+00
    48.0           4.5041E+00              4.5019E+00
    49.0           4.5032E+00              4.5011E+00
    50.0           4.5022E+00              4.5002E+00
    51.0           4.5005E+00              4.4985E+00
    52.0           4.4986E+00              4.4966E+00
    53.0           4.4967E+00              4.4948E+00
    54.0           4.4949E+00              4.4929E+00
    55.0           4.4930E+00              4.4910E+00
    56.0           4.4911E+00              4.4892E+00
    57.0           4.4894E+00              4.4875E+00
    58.0           4.4876E+00              4.4857E+00
    59.0           4.4860E+00              4.4841E+00
    60.0           4.4843E+00              4.4824E+00
    61.0           4.4826E+00              4.4808E+00
    62.0           4.4810E+00              4.4792E+00
    63.0           4.4794E+00              4.4776E+00
    64.0           4.4779E+00              4.4760E+00
    65.0           4.4763E+00              4.4745E+00
    66.0           4.4747E+00              4.4729E+00
    67.0           4.4733E+00              4.4715E+00
    68.0           4.4718E+00              4.4700E+00
    69.0           4.4703E+00              4.4685E+00
    70.0           4.4689E+00              4.4671E+00
    71.0           4.4675E+00              4.4657E+00
    72.0           4.4662E+00              4.4645E+00
    73.0           4.4649E+00              4.4631E+00
    74.0           4.4635E+00              4.4618E+00
    75.0           4.4622E+00              4.4604E+00
    76.0           4.4609E+00              4.4592E+00
    77.0           4.4596E+00              4.4579E+00
    78.0           4.4584E+00              4.4567E+00
    79.0           4.4572E+00              4.4555E+00
    80.0           4.4561E+00              4.4543E+00
    81.0           4.4492E+00              4.4475E+00
    82.0           4.4484E+00              4.4467E+00
    83.0           4.4476E+00              4.4459E+00
    84.0           4.4468E+00              4.4451E+00
    85.0           4.4461E+00              4.4444E+00
    86.0           4.4453E+00              4.4436E+00
    87.0           4.4446E+00              4.4429E+00
    88.0           4.4440E+00              4.4423E+00
    89.0           4.4433E+00              4.4416E+00
    90.0           4.4427E+00              4.4410E+00
    91.0           4.4421E+00              4.4404E+00
    92.0           4.4415E+00              4.4398E+00
    93.0           4.4410E+00              4.4392E+00
    94.0           4.4404E+00              4.4387E+00
    95.0           4.4399E+00              4.4382E+00
    96.0           4.4394E+00              4.4377E+00
    97.0           4.4390E+00              4.4372E+00
    98.0           4.4385E+00              4.4368E+00
    99.0           4.4381E+00              4.4363E+00
   100.0           4.4377E+00              4.4359E+00
   101.0           4.4373E+00              4.4355E+00
   102.0           4.4370E+00              4.4352E+00
   103.0           4.4366E+00              4.4348E+00
   104.0           4.4363E+00              4.4345E+00
   105.0           4.4360E+00              4.4342E+00
   106.0           4.4358E+00              4.4340E+00
   107.0           4.4355E+00              4.4337E+00
   108.0           4.4353E+00              4.4335E+00
   109.0           4.4351E+00              4.4333E+00
   110.0           4.4349E+00              4.4331E+00
   111.0           4.4347E+00              4.4329E+00
   112.0           4.4346E+00              4.4328E+00
   113.0           4.4345E+00              4.4327E+00
   114.0           4.4344E+00              4.4326E+00
   115.0           4.4343E+00              4.4325E+00
   116.0           4.4342E+00              4.4324E+00
   117.0           4.4342E+00              4.4324E+00
   118.0           4.4342E+00              4.4324E+00
   119.0           4.4342E+00              4.4324E+00
   120.0           4.4342E+00              4.4324E+00
   121.0           4.4342E+00              4.4324E+00
   122.0           4.4343E+00              4.4325E+00
   123.0           4.4344E+00              4.4326E+00
   124.0           4.4345E+00              4.4327E+00
   125.0           4.4346E+00              4.4328E+00
   126.0           4.4347E+00              4.4329E+00
   127.0           4.4349E+00              4.4331E+00
   128.0           4.4351E+00              4.4333E+00
   129.0           4.4353E+00              4.4335E+00
   130.0           4.4355E+00              4.4337E+00
   131.0           4.4357E+00              4.4339E+00
   132.0           4.4360E+00              4.4342E+00
   133.0           4.4362E+00              4.4345E+00
   134.0           4.4365E+00              4.4348E+00
   135.0           4.4368E+00              4.4351E+00
   136.0           4.4372E+00              4.4354E+00
   137.0           4.4375E+00              4.4357E+00
   138.0           4.4379E+00              4.4361E+00
   139.0           4.4382E+00              4.4365E+00
   140.0           4.4386E+00              4.4369E+00
   141.0           4.4390E+00              4.4373E+00
   142.0           4.4395E+00              4.4378E+00
   143.0           4.4399E+00              4.4382E+00
   144.0           4.4404E+00              4.4387E+00
   145.0           4.4409E+00              4.4392E+00
   146.0           4.4414E+00              4.4397E+00
   147.0           4.4419E+00              4.4402E+00
   148.0           4.4424E+00              4.4408E+00
   149.0           4.4430E+00              4.4413E+00
   150.0           4.4435E+00              4.4419E+00
   151.0           4.4441E+00              4.4425E+00
   152.0           4.4447E+00              4.4431E+00
   153.0           4.4453E+00              4.4437E+00
   154.0           4.4459E+00              4.4444E+00
   155.0           4.4466E+00              4.4450E+00
   156.0           4.4472E+00              4.4457E+00
   157.0           4.4479E+00              4.4464E+00
